"Compound";"Code";"site";"Rainfallevent";"conc_water"
"294";"Azoxystrobin";"CH47";"D";"Sampling_3";0.000193988531978327
"295";"Azoxystrobin";"CH23";"C";"Sampling_2";0.000330583421041466
"307";"Benthiavalicarb-isopropyl";"CH44";"B";"Sampling_3";0.00144433503994557
"308";"Benthiavalicarb-isopropyl";"CH68";"B";"Sampling_4";0.00131117080759425
"309";"Boscalid";"CH35";"M";"Sampling_2";0.000673750312744412
"310";"Boscalid";"RO16";"P";"Sampling_1";0.00180807859118037
"311";"Boscalid";"CH25";"D";"Sampling_2";0.000887894741563024
"312";"Boscalid";"CH23";"C";"Sampling_2";0.00195485619290812
"319";"Carbendazim";"CH88";"R";"Sampling_4";0.00518439537706143
"320";"Carbendazim";"CH30";"H";"Sampling_2";0.011758161324829
"321";"Carbendazim";"CH22";"B";"Sampling_2";0.00975225403320736
"322";"Carbendazim";"CH40";"R";"Sampling_2";0.00259279322494689
"323";"Carbendazim";"CH82";"M";"Sampling_4";0.000693751783231317
"324";"Carbendazim";"CH83";"N";"Sampling_4";0.00245133412866564
"325";"Carbendazim";"CH33";"K";"Sampling_2";0.0118467835000386
"326";"Carbendazim";"CH70";"D";"Sampling_4";0.00119928946267863
"327";"Carbendazim";"CH44";"B";"Sampling_3";0.00147987365384211
"328";"Carbendazim";"CH60";"N";"Sampling_3";0.00516424350280882
"329";"Carbendazim";"RO17";"Q";"Sampling_1";0.00554046518145627
"330";"Carbendazim";"CH39";"Q";"Sampling_2";0.00693317062067842
"331";"Carbendazim";"CH87";"Q";"Sampling_4";0.00408993666838362
"332";"Carbendazim";"CH84";"O";"Sampling_4";0.0090900898540221
"333";"Carbendazim";"CH78";"K";"Sampling_4";0.00374132793729405
"334";"Carbendazim";"CH29";"G";"Sampling_2";0.00445993430729083
"335";"Carbendazim";"CH36";"N";"Sampling_2";0.0109735736443802
"336";"Carbendazim";"CH49";"E";"Sampling_3";0.009839534116066
"337";"Carbendazim";"RO6";"E";"Sampling_1";0.00656602085639429
"338";"Carbendazim";"CH62";"Q";"Sampling_3";0.00329701455292104
"339";"Carbendazim";"RO2";"B";"Sampling_1";0.00379600059193157
"340";"Carbendazim";"RO4";"D";"Sampling_1";0.00498333840503332
"341";"Carbendazim";"CH23";"C";"Sampling_2";0.0505307186098895
"342";"Carbendazim";"CH42";"T";"Sampling_2";0.00544763547197415
"343";"Carbendazim";"CH93";"T";"Sampling_4";0.00967489989056119
"344";"Carbendazim";"CH28";"F";"Sampling_2";0.00421592334469438
"345";"Carbendazim";"CH35";"M";"Sampling_2";0.0379274113340239
"346";"Carbendazim";"CH51";"G";"Sampling_3";0.00831012664520941
"347";"Carbendazim";"CH21";"A";"Sampling_2";0.0110989609328662
"348";"Carbendazim";"CH56";"K";"Sampling_3";0.00808720014939501
"349";"Carbendazim";"CH74";"G";"Sampling_4";0.011386654330266
"350";"Carbendazim";"CH25";"D";"Sampling_2";0.00749733583367238
"351";"Carbendazim";"CH63";"R";"Sampling_3";0.00448575034181969
"352";"Carbendazim";"RO14";"N";"Sampling_1";0.0168989055203071
"353";"Carbendazim";"CH46";"C";"Sampling_3";0.00409606008700626
"354";"Carbendazim";"CH58";"M";"Sampling_3";0.00448415854346339
"355";"Carbendazim";"CH66";"T";"Sampling_3";0.00404596090432181
"356";"Carbendazim";"CH90";"S";"Sampling_4";0.0139855234324796
"357";"Carbendazim";"CH53";"H";"Sampling_3";0.029081486479436
"358";"Carbendazim";"RO10";"I";"Sampling_1";0.0192330808006568
"359";"Carbendazim";"CH71";"E";"Sampling_4";0.00180449012162234
"360";"Carbendazim";"CH32";"I";"Sampling_2";0.0106277767191527
"361";"Carbendazim";"CH41";"S";"Sampling_2";0.0195741020420505
"362";"Carbendazim";"CH76";"H";"Sampling_4";0.00355650095582895
"363";"Carbendazim";"CH68";"B";"Sampling_4";0.00214949255421372
"364";"Carbendazim";"RO3";"C";"Sampling_1";0.030936666558405
"365";"Carbendazim";"CH65";"S";"Sampling_3";0.00317912459400445
"366";"Carbendazim";"CH80";"L";"Sampling_4";0.000818017044937011
"367";"Carbendazim";"CH61";"P";"Sampling_3";0.00152979015053481
"368";"Carbendazim";"RO11";"K";"Sampling_1";0.00968515472325943
"369";"Carbendazim";"CH38";"P";"Sampling_2";0.0174311847811515
"370";"Carbendazim";"CH77";"I";"Sampling_4";0.00309823969584202
"371";"Carbendazim";"CH47";"D";"Sampling_3";0.00579856620020028
"372";"Carbendazim";"CH72";"F";"Sampling_4";0.0135387261445982
"373";"Carbendazim";"CH67";"A";"Sampling_4";0.00221391211653932
"374";"Carbendazim";"CH27";"E";"Sampling_2";0.00769761026472856
"375";"Carbendazim";"RO19";"S";"Sampling_1";0.0141078597115495
"376";"Carbendazim";"RO9";"H";"Sampling_1";0.015964015763665
"377";"Carbendazim";"CH54";"I";"Sampling_3";0.00365675185991981
"378";"Carbendazim";"CH43";"A";"Sampling_3";0.006606158678943
"379";"Carbendazim";"CH34";"L";"Sampling_2";0.00769258179277744
"380";"Carbendazim";"CH50";"F";"Sampling_3";0.0012880117689682
"381";"Carbendazim";"CH69";"C";"Sampling_4";0.00963655684367354
"382";"Carbendazim";"CH85";"P";"Sampling_4";0.00809786218736712
"383";"Carbendazim";"RO1";"A";"Sampling_1";0.0155057542151384
"384";"Carbendazim";"CH37";"O";"Sampling_2";0.00578494297557354
"385";"Carbendazim";"RO7";"F";"Sampling_1";0.0270356360328098
"386";"Carbendazim";"CH57";"L";"Sampling_3";0.00177478801580201
"387";"Chlortoluron";"CH85";"P";"Sampling_4";0.670789970929692
"388";"Chlortoluron";"CH61";"P";"Sampling_3";0.00137280908932217
