Compound;casnr;type
Sulfentrazon;122836355;Herbicide
Sulfosulfuron;141776321;Herbicide
Tebuconazol;107534963;Fungicide
Tebufenozid;112410238;Insecticide
Tebutam;35256850;Herbicide
Teflubenzuron;83121180;Insecticide
Tembotrione;335104842;Herbicide
Tepraloxydim;149979419;Herbicide
Terbacil;5902512;Herbicide
Terbumeton;33693048;Herbicide
Terbutryn;886500;Herbicide
Terbutylazin;5915413;Herbicide
Thiabendazol;148798;Fungicide
Thiacloprid;111988499;Insecticide
Thiamethoxam;153719234;Insecticide
Thiencarbazone;317815831;Herbicide
Thifensulfuron-methyl;79277273;Herbicide
Triazoxide;72459586;Fungicide
Tribenuron-methyl;101200480;Herbicide
Triclocarban;101202;other
Triclosan;3380345;other
Trifloxystrobin;141517217;Fungicide
Triflusulfuron-methyl;126535157;Herbicide
Trinexapac-ethyl;95266403;Plant growth regulator
Tritosulfuron;142469145;Herbicide
Carbendazim;10605217;Fungicide
Empethrin;54406483;Insecticide
Tefluthrin;79538322;Insecticide
Chlorpyrifos-methyl;5598130;Insecticide
Chlorpyrifos;2921882;Insecticide
Allethrin;584792;Insecticide
Imiprothrin;72963725;Insecticide
Bifenthrin;82657043;Insecticide
Tetramethrin;7696120;Insecticide
Fenpropathrin;39515418;Insecticide
Phenothrin;26002802;Insecticide
lambda-Cyhalothrin;91465086;Insecticide
Acrinathrin;101007061;Insecticide
Permethrin;52645531;Insecticide
Cypermethrin-alpha;52315078;Insecticide
Etofenprox;80844071;Insecticide
Esfenvalerate;66230044;Insecticide
Fluvalinate-tau;102851069;Insecticide
Deltamethrin;52918635;Insecticide
5-Chloro-2-methyl-4-isothiazolin-3-on-(CMI);26172554;other
Atraton;1610179;Herbicide
