"Compound";"Code";"site";"Rainfallevent";"conc_water"
"261";"Azoxystrobin";"CH87";"Q";"B";0.000531210968897205
"262";"Azoxystrobin";"CH85";"P";"B";0.000794670764174989
"263";"Azoxystrobin";"CH58";"M";"3";7.0975118133294e-05
"264";"Azoxystrobin";"CH68";"B";"B";0.000527342541525597
"265";"Azoxystrobin";"CH60";"N";"3";0.000909613713055079
"266";"Azoxystrobin";"CH69";"C";"B";0.000459699773374575
"267";"Azoxystrobin";"CH65";"S";"3";0.000129990963064349
"268";"Azoxystrobin";"CH46";"C";"3";0.000334966925444266
"269";"Azoxystrobin";"RO16";"P";"1";0.000309159390189535
"270";"Azoxystrobin";"CH21";"A";"2";0.000476515722105845
"271";"Azoxystrobin";"CH30";"H";"2";0.00024038924384702
"272";"Azoxystrobin";"RO19";"S";"1";0.00023074204443533
"273";"Azoxystrobin";"CH83";"N";"B";0.000467751194413863
"274";"Azoxystrobin";"CH50";"F";"3";0.000379190929586985
"275";"Azoxystrobin";"CH22";"B";"2";0.00261005962899838
"276";"Azoxystrobin";"CH34";"L";"2";0.000202205148287051
"277";"Azoxystrobin";"RO17";"Q";"1";0.000238466971990586
"278";"Azoxystrobin";"CH63";"R";"3";0.000133394527554894
"279";"Azoxystrobin";"CH35";"M";"2";0.00146219303135089
"280";"Azoxystrobin";"CH54";"I";"3";0.000256321071279177
"281";"Azoxystrobin";"CH67";"A";"B";0.000702895882826768
"282";"Azoxystrobin";"CH38";"P";"2";0.00032895797322831
"283";"Azoxystrobin";"CH42";"T";"2";0.000717139635460692
"284";"Azoxystrobin";"CH33";"K";"2";0.000904217351275835
"285";"Azoxystrobin";"CH27";"E";"2";0.000104192094003689
"286";"Azoxystrobin";"CH56";"K";"3";0.000205247705762262
"287";"Azoxystrobin";"CH72";"F";"B";0.000730730689451406
"288";"Azoxystrobin";"CH93";"T";"B";0.000534890613572187
"289";"Azoxystrobin";"CH74";"G";"B";0.00124887125757767
"290";"Azoxystrobin";"CH41";"S";"2";0.000205807845216207
"291";"Azoxystrobin";"CH78";"K";"B";0.000203971798846458
"292";"Azoxystrobin";"CH28";"F";"2";0.000193932609302516
"293";"Azoxystrobin";"CH39";"Q";"2";0.00018899322742411
"294";"Azoxystrobin";"CH47";"D";"3";0.000193988531978537
"295";"Azoxystrobin";"CH23";"C";"2";0.000330583421056319
"307";"Benthiavalicarb-isopropyl";"CH44";"B";"3";0.00144433504020115
"308";"Benthiavalicarb-isopropyl";"CH68";"B";"B";0.00131117080754684
"309";"Boscalid";"CH35";"M";"2";0.000673750312749921
"310";"Boscalid";"RO16";"P";"1";0.000602692863759234
"311";"Boscalid";"CH25";"D";"2";0.000887894741626356
"312";"Boscalid";"CH23";"C";"2";0.00195485619299595
"319";"Carbendazim";"CH88";"R";"B";0.00518439537669158
"320";"Carbendazim";"CH30";"H";"2";0.0117581613252449
"321";"Carbendazim";"CH22";"B";"2";0.00975225403202454
"322";"Carbendazim";"CH40";"R";"2";0.00259279322494647
"323";"Carbendazim";"CH82";"M";"B";0.000693751783252205
"324";"Carbendazim";"CH83";"N";"B";0.00245133412851788
"325";"Carbendazim";"CH33";"K";"2";0.0118467834997088
"326";"Carbendazim";"CH70";"D";"B";0.00119928946267666
"327";"Carbendazim";"CH44";"B";"3";0.00147987365410398
"328";"Carbendazim";"CH60";"N";"3";0.00516424350304807
"329";"Carbendazim";"RO17";"Q";"1";0.00184682172713513
"330";"Carbendazim";"CH39";"Q";"2";0.00693317062112055
"331";"Carbendazim";"CH87";"Q";"B";0.00408993666901175
"332";"Carbendazim";"CH84";"O";"B";0.00909008985506838
"333";"Carbendazim";"CH78";"K";"B";0.0037413279369157
"334";"Carbendazim";"CH29";"G";"2";0.00445993430824422
"335";"Carbendazim";"CH36";"N";"2";0.0109735736414477
"336";"Carbendazim";"CH49";"E";"3";0.00983953411673313
"337";"Carbendazim";"RO6";"E";"1";0.00218867361884264
"338";"Carbendazim";"CH62";"Q";"3";0.00329701455281847
"339";"Carbendazim";"RO2";"B";"1";0.00126533353080608
"340";"Carbendazim";"RO4";"D";"1";0.00166111280182119
"341";"Carbendazim";"CH23";"C";"2";0.0505307186121597
"342";"Carbendazim";"CH42";"T";"2";0.00544763547219244
"343";"Carbendazim";"CH93";"T";"B";0.00967489989233756
"344";"Carbendazim";"CH28";"F";"2";0.00421592334519633
"345";"Carbendazim";"CH35";"M";"2";0.0379274113343341
"346";"Carbendazim";"CH51";"G";"3";0.00831012664650811
