casnr;subst_name;variable_id;cas;ec50f_al4896_fin;ec50f_al4896_tax;ec50f_al4896_n;ec50f_al4896_src;ec50f_da48_fin;ec50f_da48_tax;ec50f_da48_n;ec50f_da48_src;ec50f_fi96_fin;ec50f_fi96_tax;ec50f_fi96_n;ec50f_fi96_src;ec50f_ma4896_fin;ec50f_ma4896_tax;ec50f_ma4896_n;ec50f_ma4896_src
21725462;Cyanazin;233;NA;22;Pseudokirchneriella subcapitata;1;malaj;49000;Daphnia magna;1;malaj;4000;Galaxias maculatus;17;epa;2000;Gammarus fasciatus;12;epa
219714962;Penoxsulam;922;NA;94;Pseudokirchneriella subcapitata;2;epa;98300;Daphnia magna;1;ppdb;101000;Cyprinus carpio;5;epa;90100;Daphnia magna;5;epa
220899036;Metrafenon;716;NA;570;Skeletonema costatum;4;epa;92000;Daphnia magna;1;epa;650;Cyprinodon variegatus;4;epa;487;Americamysis bahia;2;epa
22224926;fenamiphos;NA;NA;3800;Scenedesmus subspicatus;1;ppdb;1.1;Daphnia magna;1;ppdb;9.3;Oncorhynchus mykiss;1;ppdb;1.1;Daphnia magna;1;ppdb
2303175;Triallat;771;NA;2.2;Pseudokirchneriella subcapitata;1;ppdb;91;Daphnia magna;1;ppdb;950;Oncorhynchus mykiss;1;ppdb;85.5;Daphnia magna;8;epa
2310170;Phosalone;NA;NA;880;Pseudokirchneriella subcapitata;1;malaj;0.74;Daphnia magna;1;malaj;231;Pimephales promelas;1;malaj;0.74;Daphnia magna;1;malaj
23103982;Pirimicarb;NA;NA;120000;Pseudokirchneriella subcapitata;1;epa;17;Daphnia magna;1;malaj;55000;Lepomis macrochirus;8;epa;16;Daphnia magna;18;epa
2312358;propargite;NA;2312-35-8;19900;Anabaena flosaquae;7;epa;74;Daphnia magna;2;epa;31;Lepomis macrochirus;7;epa;74;Daphnia magna;3;epa
23135220;Oxamyl;700;NA;930;Pseudokirchneriella subcapitata;1;ppdb;319;Daphnia magna;1;ppdb;8.3003;Pimephales promelas;14;epa;170;Chironomus plumosus;10;epa
23564058;Thiophanat-methyl;810;NA;5755.4;Chlorella pyrenoidosa;3;epa;5400;Daphnia magna;1;ppdb;30;Ictalurus punctatus;9;epa;1100;Americamysis bahia;11;epa
2385855;Mirex;430;NA;NA;NA;NA;NA;65;Daphnia magna;1;malaj;20000;Gambusia affinis;14;epa;40;Dineutus americanus;29;epa
